Page	Ranking
8133	0.0010186822130354544
6091	7.851362040601743E-4
1979	7.818054181986044E-4
2236	7.602942185454212E-4
8104	6.856329685682632E-4
9236	6.738601950910562E-4
9163	6.694084094043301E-4
2510	6.240586685226304E-4
2921	6.221835052199867E-4
3413	6.141829920791947E-4
5029	6.107789585294798E-4
5853	6.071772293175232E-4
204	6.062495773843349E-4
1984	6.040762600630112E-4
9446	5.997256958280756E-4
1079	5.995777198581979E-4
4378	5.944801374355444E-4
6600	5.920013665360808E-4
4611	5.911896173770056E-4
729	5.85084827322031E-4
2120	5.814103928874091E-4
333	5.719335486230832E-4
1452	5.566737780919893E-4
6435	5.556944571060134E-4
2778	5.554183043122737E-4
6833	5.541617364629892E-4
5272	5.534393410533354E-4
6821	5.514937588470355E-4
7398	5.471250231120733E-4
7370	5.469696623352933E-4
1434	5.468132451711581E-4
4399	5.467766975128121E-4
1142	5.465652942998747E-4
9019	5.449027468510857E-4
2995	5.422210711523069E-4
966	5.346629874023051E-4
5024	5.336688477438398E-4
8056	5.325728534864932E-4
4366	5.325326273955122E-4
7569	5.285968540836129E-4
6155	5.283109871060866E-4
8307	5.241105982418724E-4
2468	5.239980623670141E-4
5941	5.222182812920838E-4
3525	5.210124394511023E-4
6408	5.116822659868106E-4
9502	5.1125674695192E-4
3158	5.085767688350666E-4
890	5.078825671018878E-4
1093	5.076556434490771E-4
5602	5.071664794935801E-4
4275	5.060081902389519E-4
5175	5.054437283223916E-4
9213	5.051527007000471E-4
5615	5.037306096422684E-4
8126	5.010230347436416E-4
4685	4.996753006329813E-4
612	4.985482825896943E-4
9935	4.981603197946282E-4
3168	4.97939008498974E-4
325	4.968580008112866E-4
9153	4.947140954920271E-4
2029	4.935753805470857E-4
953	4.933120526256487E-4
9316	4.92760077368015E-4
7038	4.923098295401803E-4
1126	4.904561503569333E-4
5008	4.903131324962176E-4
6620	4.895766756142956E-4
1307	4.884804512557229E-4
4814	4.8738831758970264E-4
4501	4.8713904468488577E-4
101	4.842776240838946E-4
8501	4.842041902606446E-4
6300	4.832654315237318E-4
8471	4.818306569705511E-4
4401	4.816854661945578E-4
5730	4.7966071330181575E-4
6500	4.786847565902987E-4
1590	4.786148001405399E-4
5077	4.729150168847346E-4
5950	4.7215246392765897E-4
8374	4.707761935322411E-4
8856	4.6871421587881305E-4
8524	4.686834593188342E-4
5816	4.6848003036480443E-4
1619	4.672624397683291E-4
6777	4.6615834965181964E-4
9059	4.654670207914872E-4
5977	4.6503358159614056E-4
2250	4.6486207464940907E-4
4319	4.63260490281322E-4
3717	4.627905129333908E-4
8521	4.619528795871829E-4
6211	4.6133480154182877E-4
5802	4.5989426940322637E-4
7888	4.58731070268394E-4
9162	4.5861599344424055E-4
3607	4.5826325781407856E-4
538	4.571729344969516E-4
1534	4.565936729847026E-4
4144	4.5601842146151514E-4
3737	4.5589212923289815E-4
4138	4.552711006227893E-4
9685	4.550302685661324E-4
8807	4.5488177145374103E-4
7680	4.5455044446799807E-4
487	4.539812325258607E-4
5348	4.535088340137993E-4
3768	4.5185527417282597E-4
5705	4.504657176712203E-4
4927	4.504503407194456E-4
8313	4.504323814095432E-4
2464	4.502165080830954E-4
1715	4.501911810999666E-4
732	4.495348732880734E-4
3394	4.4882091437146846E-4
1073	4.479290234455755E-4
937	4.464528400914077E-4
9372	4.463956175546022E-4
3972	4.461504467944234E-4
8581	4.4578099812682257E-4
731	4.4564490741049085E-4
8425	4.455994596266475E-4
8958	4.4509281317487966E-4
8999	4.448884496734332E-4
615	4.44604871203576E-4
5911	4.4440490520684673E-4
5180	4.426075539108629E-4
1611	4.42447671671946E-4
4416	4.424175717353481E-4
6129	4.418975252713144E-4
9906	4.416715422832704E-4
9874	4.412858358227897E-4
5208	4.4121163412126375E-4
3864	4.40509233310868E-4
9518	4.4035152792759423E-4
9218	4.401078852573752E-4
4857	4.3982826043693316E-4
4656	4.393370422457598E-4
3834	4.3888142775061153E-4
3575	4.387299326562832E-4
9828	4.3843023134952045E-4
6814	4.361419897052388E-4
2579	4.358889175982048E-4
1746	4.355396353408378E-4
3555	4.3454473959803205E-4
579	4.33457146199038E-4
5444	4.330148432672318E-4
7274	4.329857493401193E-4
3075	4.3295603384237277E-4
9254	4.328510387388355E-4
8852	4.3204076687354087E-4
1161	4.3200231627304824E-4
8198	4.31982692722001E-4
6165	4.3172993613142514E-4
342	4.309987376594408E-4
9554	4.3091213636882334E-4
2588	4.3037080189416756E-4
5448	4.303010257898092E-4
8930	4.2963204480937815E-4
5870	4.2772338905866573E-4
5662	4.2749681134949424E-4
7028	4.270848205896495E-4
4188	4.2694034222864777E-4
2652	4.2677988602044664E-4
8236	4.2657908727944757E-4
270	4.2640731542566607E-4
5440	4.2540665176272395E-4
9192	4.247753217400286E-4
5982	4.2321626750517315E-4
4487	4.227987924379057E-4
9980	4.2245117192583507E-4
8062	4.220723883621232E-4
365	4.218464888761118E-4
3077	4.1991594784547684E-4
8158	4.184041431502221E-4
9494	4.1788607093949225E-4
3029	4.1737135442141706E-4
6849	4.172597821660158E-4
3795	4.171762489892049E-4
6123	4.171550362743771E-4
527	4.1652437504411505E-4
3435	4.1638953912690943E-4
3815	4.1553411901170507E-4
4175	4.152255749466721E-4
175	4.1263532736953465E-4
9255	4.1194914560551E-4
176	4.1181732740923864E-4
5035	4.117773196409158E-4
4666	4.1144260296879906E-4
7046	4.1128162793384814E-4
8733	4.11169831964595E-4
1943	4.109033885910647E-4
4187	4.1051382881544606E-4
7650	4.1005388047828985E-4
2033	4.093078692301006E-4
6780	4.09228558854019E-4
9533	4.0906046787196235E-4
2216	4.0868516533135635E-4
3285	4.075699504327808E-4
8028	4.06779698507711E-4
494	4.057701146011298E-4
6015	4.0563851724888646E-4
9208	4.0550318228836077E-4
9458	4.052630142632418E-4
1508	4.0482915991114736E-4
2085	4.044562304128023E-4
9354	4.041163615167428E-4
7300	4.038957767902519E-4
4032	4.036461477049266E-4
2316	4.02911818949598E-4
2843	4.024925814169141E-4
5577	4.0249102041921243E-4
3241	4.0235857207014675E-4
8884	4.004802564285444E-4
5445	4.002107787284071E-4
5526	3.994205784133705E-4
7360	3.9876334678750643E-4
6736	3.981098054388219E-4
4639	3.977810159130232E-4
1136	3.9617766759015584E-4
138	3.9597386865901303E-4
2532	3.9463084472063164E-4
4913	3.9437990588224773E-4
9103	3.9434451933032704E-4
6925	3.9412859288833114E-4
9462	3.9395177400341894E-4
9671	3.9326213255260183E-4
1330	3.930557540583155E-4
2143	3.9245502574429206E-4
5257	3.923285158884584E-4
6855	3.916138652688105E-4
2655	3.9115947307567333E-4
1344	3.911191003194459E-4
9169	3.9056040825554935E-4
266	3.9048281156532367E-4
1108	3.9034222139884827E-4
8814	3.901820308027185E-4
8334	3.898931754951351E-4
353	3.8971159632484865E-4
55	3.8945609708895617E-4
7635	3.893505549161356E-4
2757	3.889949632779364E-4
7590	3.8879428425661307E-4
5918	3.887531034032396E-4
873	3.88435179353679E-4
5018	3.8818785708962027E-4
8635	3.8783933777839256E-4
816	3.8718682837520543E-4
2799	3.870669257028456E-4
5603	3.8676456936006056E-4
1964	3.8652247515007037E-4
9265	3.863320559845981E-4
8757	3.858902830975325E-4
3426	3.857680610721135E-4
3489	3.856069769609426E-4
1577	3.854978226652858E-4
4914	3.853311152439649E-4
7782	3.851925536916999E-4
8827	3.848289566365432E-4
4022	3.8395147796441327E-4
2974	3.8387084658478277E-4
4200	3.833723401014113E-4
3401	3.830789335434198E-4
1490	3.8249351450635915E-4
9454	3.8219802347204515E-4
1039	3.8204725405187735E-4
2446	3.817742857374014E-4
2752	3.8151110074403086E-4
5152	3.8147868701640767E-4
6235	3.813572457277503E-4
7259	3.8127049042369966E-4
3133	3.807172650181161E-4
6702	3.7987481862437173E-4
5726	3.796390082913267E-4
2565	3.795395433899488E-4
5745	3.79236115167119E-4
